site,treecover
L1,0
L2,0
L3,0
L4,0
L5,120
L6,0
L7,140
L8,0
L9,0
L10,0
L11,0
L12,100
L13,0
L14,480
L15,600
L16,560
L17,110
L18,0
L19,230
L20,140
L21,3230
L22,410
L23,3460
L24,1190
L25,340
L26,3860
L27,7160
L28,6100
L29,2420
L30,300
L31,100
L32,880
L33,2650
L34,5610
L35,3800
L36,1260
L37,3640
L38,0
L39,0
L40,10610
M1,0
M2,360
M3,390
M4,110
M5,0
M6,100
M7,0
M8,40
M9,0
M10,110
M11,10
M12,1440
M13,0
M14,1310
M15,110
M16,20
M17,1790
M18,590
M19,70
M20,600
M21,4340
M22,2730
M23,30
M24,0
M25,6750
M26,4600
M27,600
M28,40
M29,4110
M30,530
M31,120
M32,60
M33,9400
M34,17530
M35,3290
M36,9680
M37,3570
M38,4240
M39,11430
M40,7630
